time,replicas,target_rps
09:41:28,4,4334m
09:41:33,4,7384m
09:41:38,4,7384m
09:41:44,4,4450m
09:41:49,4,4450m
09:41:54,4,4450m
09:41:59,4,1550m
09:42:05,4,1550m
09:42:10,4,1550m
09:42:15,4,8184m
09:42:20,4,8184m
09:42:26,4,8184m
09:42:31,6,6767m
09:42:36,6,6767m
09:42:41,6,6767m
09:42:46,6,456m
09:42:52,6,456m
09:42:57,6,456m
09:43:02,6,4036m
09:43:07,6,4036m
09:43:13,6,4036m
09:43:18,6,4889m
09:43:23,6,4889m
09:43:28,6,4889m
09:43:33,6,1367m
09:43:39,6,1367m
09:43:44,6,3289m
09:43:49,6,3289m
09:43:54,6,3289m
09:44:00,6,5112m
09:44:05,6,5112m
09:44:10,6,5112m
09:44:15,6,2367m
09:44:21,6,2367m
09:44:26,6,2367m
09:44:31,6,1667m
09:44:36,6,1667m
09:44:42,6,1667m
09:44:47,6,5534m
09:44:52,6,5534m
09:44:57,6,5534m
09:45:03,6,4212m
09:45:08,6,4212m
09:45:13,6,4212m
09:45:18,6,823m
09:45:23,6,823m
09:45:29,6,4456m
09:45:34,6,4456m
09:45:39,6,4456m
09:45:44,6,4789m
09:45:50,6,4789m
09:45:55,6,4789m
09:46:00,6,1389m
09:46:05,6,1389m
09:46:10,6,1389m
09:46:16,6,3223m
09:46:21,6,3223m
09:46:26,6,3223m
09:46:31,6,5323m
09:46:37,6,5323m
