time,replicas,target_rps
09:33:38,2,358m
09:33:43,4,13067m
09:33:49,4,13067m
09:33:54,4,13067m
09:33:59,6,6800m
09:34:04,6,6800m
09:34:10,6,6800m
09:34:15,2,1156m
09:34:20,2,1156m
09:34:25,2,1156m
09:34:31,4,8134m
09:34:36,4,8134m
09:34:41,4,8134m
09:34:47,6,6750m
09:34:52,6,6750m
09:34:57,6,6750m
09:35:02,4,2730m
09:35:07,4,2730m
09:35:13,2,1667m
09:35:18,2,1667m
09:35:23,2,1667m
09:35:28,4,13900m
09:35:34,4,13900m
09:35:39,4,13900m
09:35:44,5,5850m
09:35:49,5,5850m
09:35:55,5,5850m
09:36:00,2,107m
09:36:05,2,107m
09:36:10,2,107m
09:36:15,4,12434m
09:36:21,4,12434m
09:36:26,4,12434m
09:36:31,6,6884m
09:36:36,6,6884m
09:36:42,6,6884m
09:36:47,2,545m
09:36:52,2,545m
09:36:57,2,545m
09:37:03,4,8134m
09:37:08,4,8134m
09:37:13,6,6800m
09:37:18,6,6800m
09:37:23,6,6800m
09:37:29,3,2234m
09:37:34,3,2234m
09:37:39,3,2234m
09:37:44,2,1423m
09:37:50,2,1423m
09:37:55,2,1423m
09:38:00,4,12367m
09:38:05,4,12367m
09:38:11,4,12367m
09:38:16,6,6400m
09:38:21,6,6400m
09:38:26,6,6400m
09:38:31,2,734m
09:38:37,2,734m
09:38:42,2,734m
09:38:47,4,8767m
