% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 24.04    0.000937         937         1           execve
 15.29    0.000596          19        30           mmap
  9.19    0.000358           5        66           rt_sigaction
  7.75    0.000302          16        18           getdents64
  5.98    0.000233           6        35           read
  5.49    0.000214           6        35         5 openat
  5.11    0.000199           5        36           fstat
  5.03    0.000196          32         6           mprotect
  3.18    0.000124          10        12           brk
  3.10    0.000121           3        31           close
  2.67    0.000104           1        85        25 newfstatat
  2.49    0.000097           3        26         3 lseek
  2.44    0.000095          23         4           munmap
  1.33    0.000052          52         1           write
  1.08    0.000042          42         1           open
  1.03    0.000040           6         6         3 ioctl
  0.74    0.000029           9         3           getrandom
  0.69    0.000027           6         4           rt_sigprocmask
  0.56    0.000022           5         4           fcntl
  0.41    0.000016           8         2           pread64
  0.41    0.000016           8         2           prlimit64
  0.33    0.000013          13         1         1 access
  0.26    0.000010          10         1           arch_prctl
  0.21    0.000008           8         1           sched_getaffinity
  0.21    0.000008           8         1           set_tid_address
  0.21    0.000008           8         1           set_robust_list
  0.21    0.000008           8         1           rseq
  0.18    0.000007           7         1           gettid
  0.18    0.000007           7         1           futex
  0.05    0.000002           2         1           getuid
  0.05    0.000002           2         1           getgid
  0.05    0.000002           2         1           geteuid
  0.05    0.000002           2         1           getegid
  0.00    0.000000           0         5         4 readlink
------ ----------- ----------- --------- --------- ------------------
100.00    0.003897           9       425        41 total
