% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 86.62    0.008763           1      5000           write
  3.54    0.000358          11        30           mmap
  1.38    0.000140          23         6           mprotect
  1.38    0.000140           4        35         5 openat
  1.27    0.000128           1        85        25 newfstatat
  1.12    0.000113           6        18           getdents64
  0.75    0.000076           2        31           close
  0.67    0.000068           1        35           read
  0.57    0.000058           1        36           fstat
  0.41    0.000041          10         4           munmap
  0.40    0.000040           3        12           brk
  0.31    0.000031          31         1           open
  0.27    0.000027           0        66           rt_sigaction
  0.20    0.000020           6         3           getrandom
  0.18    0.000018           3         5         4 readlink
  0.14    0.000014           3         4           rt_sigprocmask
  0.12    0.000012           6         2           pread64
  0.11    0.000011           0        26         3 lseek
  0.09    0.000009           9         1         1 access
  0.08    0.000008           8         1           futex
  0.08    0.000008           4         2           prlimit64
  0.07    0.000007           7         1           arch_prctl
  0.06    0.000006           6         1           set_tid_address
  0.06    0.000006           6         1           rseq
  0.05    0.000005           0         6         3 ioctl
  0.05    0.000005           1         4           fcntl
  0.05    0.000005           5         1           set_robust_list
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           gettid
  0.00    0.000000           0         1           sched_getaffinity
------ ----------- ----------- --------- --------- ------------------
100.00    0.010117           1      5424        41 total
